,admission_year,matric_gpa,study_year,current_gpa,monthly_allowance,scholarship,study_hours,classes_missed,failed_modules,gender_Female,gender_Male,faculty_AgriSciences,faculty_Arts & Social Sciences,faculty_Economic & Management Sciences,faculty_Education,faculty_Engineering,faculty_Law,faculty_Medicine and Health Services,faculty_Science,faculty_Unknown,accommodation_Non-private accommodation ie. Res,accommodation_Private accommodation/ stay with family/friends
368,2024,0.7178996837423118,0,-0.615334641619724,5500.0,0,8.0,4.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,1
369,2024,0.2880280870665649,0,0.9846063599364572,4500.0,0,4.0,7.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,1
370,2024,0.0014470226160669506,5,-0.1230451026793605,7500.0,0,2.0,4.0,3.0,0,1,0,0,0,0,0,0,0,1,0,0,1
371,2024,-1.1448772351859249,1,-0.7384070263548148,4500.0,0,8.0,4.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1
372,2024,1.1477712804180586,1,0.36924443626100295,5500.0,0,2.0,8.0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1
373,2024,-0.8582961707354269,5,-0.1230451026793605,5500.0,0,8.0,4.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1
374,2024,1.4343523448685567,5,-0.1230451026793605,4500.0,0,2.0,8.0,2.0,1,0,0,0,0,0,0,1,0,0,0,0,1
375,2024,1.8943149533116048,5,-0.1230451026793605,4500.0,0,2.0,2.0,3.0,1,0,0,0,0,0,0,0,0,1,0,0,1
376,2024,1.0044807481928097,0,-0.7384070263548148,4500.0,0,2.0,4.0,3.0,1,0,0,0,0,0,0,0,1,0,0,0,1
377,2024,0.14473755484131592,0,2.0922578225522748,7500.0,0,8.0,2.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1
378,2024,-1.1448772351859249,1,-1.2306965652951782,8500.0,0,4.0,8.0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1
379,2024,-1.4314582996364227,5,-0.1230451026793605,6500.0,1,7.0,4.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1
380,2024,-0.42842457405967993,0,-0.1230451026793605,4500.0,0,2.0,4.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,1
381,2024,0.0014470226160669506,1,1.5999682836119116,6500.0,0,2.0,2.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1
382,2024,-0.285134041834431,5,-0.1230451026793605,6500.0,0,4.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,1
383,2024,-0.285134041834431,1,-0.24611748741445136,4500.0,0,4.0,7.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1
384,2024,-0.285134041834431,1,-1.1076241805600873,4500.0,0,8.0,2.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1
385,2024,1.0044807481928097,0,-0.9845517958249965,8500.0,0,2.0,4.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1
386,2024,2.5806766026705485,5,-0.1230451026793605,5500.0,0,8.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1
387,2024,1.1477712804180586,0,0.6153892057311846,4500.0,0,8.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
388,2024,0.0014470226160669506,2,2.728205573035931e-05,4500.0,0,0.0,2.0,1.0,0,1,0,0,0,0,0,1,0,0,0,0,1
389,2024,-0.42842457405967993,5,-0.1230451026793605,6500.0,0,2.0,8.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,1
390,2024,-0.5717151062849289,5,-0.1230451026793605,4500.0,0,2.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,1
391,2024,-0.42842457405967993,5,-0.1230451026793605,6500.0,0,4.0,2.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1
392,2024,-2.0046204285374185,0,0.4923168209960938,8500.0,0,0.0,8.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1
393,2024,0.0014470226160669506,0,-1.8460584889706324,4500.0,0,2.0,7.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1
394,2024,-0.285134041834431,0,-0.9845517958249965,5500.0,0,2.0,8.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,1
395,2024,-0.42842457405967993,1,1.7230406683470023,8500.0,0,0.0,8.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,1
396,2024,0.0014470226160669506,1,0.9846063599364572,4500.0,0,2.0,2.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1
397,2024,1.1477712804180586,0,0.4923168209960938,4500.0,0,7.0,4.0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1
398,2024,-0.5717151062849289,1,-0.7384070263548148,6500.0,0,7.0,2.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1
399,2024,0.0014470226160669506,5,-0.1230451026793605,5500.0,0,4.0,2.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1
400,2024,1.0044807481928097,5,-0.1230451026793605,5500.0,0,4.0,4.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,1
401,2024,-0.5717151062849289,5,-0.1230451026793605,5500.0,0,4.0,2.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
402,2024,-0.7150056385101778,1,-0.9845517958249965,6500.0,1,7.0,8.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1
403,2024,1.1477712804180586,0,-0.1230451026793605,4500.0,0,7.0,4.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1
404,2024,1.0044807481928097,5,-0.1230451026793605,4500.0,0,2.0,7.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,1
405,2024,0.2880280870665649,0,-0.3691898721495422,5500.0,0,4.0,4.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1
